Trial	Tic #	Audible	Timing (s)
1	1	1	0
1	2	1	0.588
1	3	1	1.176
1	4	1	1.764
1	5	1	2.352
1	6	1	2.94
1	7	1	3.528
1	8	1	4.116
1	9	1	4.704
1	10	1	5.292
1	11	1	5.88
1	12	1	6.468
1	13	1	7.056
1	14	1	7.644
1	15	1	8.232
1	16	1	8.82
1	17	1	9.408
1	18	1	9.996
1	19	1	10.584
1	20	1	11.172
1	21	1	11.76
1	22	1	12.348
1	23	1	12.936
1	24	1	13.524
1	25	1	14.112
1	26	0	14.7
1	27	0	15.288
1	28	0	15.876
1	29	0	16.464
1	30	0	17.052
1	31	0	17.64
1	32	0	18.228
1	33	0	18.816
1	34	0	19.404
1	35	0	19.992
1	36	0	20.58
1	37	0	21.168
1	38	0	21.756
1	39	0	22.344
1	40	0	22.932
1	41	0	23.52
1	42	0	24.108
1	43	0	24.696
1	44	0	25.284
1	45	0	25.872
