Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	5.9488	0
1	2	6.3913	0.44255
1	3	6.9197	0.52839
1	4	7.5727	0.65294
1	5	8.1341	0.56141
1	6	8.7538	0.61974
1	7	9.3561	0.60229
1	8	9.9342	0.57805
1	9	10.5246	0.5904
1	10	11.1404	0.61588
1	11	11.7165	0.57609
1	12	12.3338	0.61733
1	13	12.8959	0.56205
1	14	13.4616	0.56575
1	15	14.0671	0.60547
1	16	14.6558	0.58872
1	17	15.2334	0.5776
1	18	15.8301	0.59664
1	19	16.4315	0.60147
1	20	17.0048	0.57326
1	21	17.6252	0.62036
1	22	18.2771	0.65193
1	23	18.8463	0.56918
1	24	19.462	0.61571
1	25	20.071	0.60907
1	26	20.6575	0.58649
1	27	21.2235	0.56594
1	28	21.7523	0.52882
1	29	22.3362	0.58393
1	30	23.009	0.67279
1	31	23.5951	0.58613
1	32	24.141	0.54584
1	33	24.707	0.56606
1	34	25.2529	0.54584
1	35	25.8428	0.58988
1	36	26.3913	0.54856
1	37	26.9478	0.5565
1	38	27.4717	0.52389
1	39	28.1354	0.66372
1	40	28.6954	0.55996
1	41	29.2323	0.53686
2	1	5.9507	0
2	2	6.4325	0.48182
2	3	6.9718	0.53928
2	4	7.56	0.58823
2	5	8.1755	0.61548
2	6	8.7548	0.57923
2	7	9.319	0.56427
2	8	9.8825	0.56347
2	9	10.4848	0.60229
2	10	11.0612	0.57641
2	11	11.7216	0.66042
2	12	12.2621	0.54051
2	13	12.8517	0.58954
2	14	13.4686	0.61698
2	15	14.0555	0.58685
2	16	14.6765	0.62104
2	17	15.2524	0.57592
2	18	15.8546	0.6022
2	19	16.4901	0.63548
2	20	17.0312	0.54104
2	21	17.6125	0.58134
2	22	18.2383	0.62579
2	23	18.812	0.57366
2	24	19.374	0.56205
2	25	19.9604	0.58638
2	26	20.5371	0.57673
2	27	21.1172	0.58009
2	28	21.7158	0.5986
2	29	22.3297	0.61385
2	30	22.9517	0.62206
2	31	23.4754	0.52364
2	32	24.0778	0.6024
2	33	24.6642	0.58645
2	34	25.2668	0.60262
2	35	25.8833	0.61646
2	36	26.4644	0.58106
2	37	27.0999	0.63557
2	38	27.6943	0.5944
2	39	28.3162	0.62183
2	40	28.9376	0.62143
3	1	5.9521	0
3	2	6.4593	0.50716
3	3	7.0238	0.56451
3	4	7.6579	0.63411
3	5	8.2418	0.5839
3	6	8.798	0.55624
3	7	9.3533	0.55531
3	8	10.0037	0.65042
3	9	10.5661	0.56239
3	10	11.1433	0.57719
3	11	11.762	0.61872
3	12	12.3398	0.57779
3	13	12.8861	0.54629
3	14	13.4825	0.59639
3	15	14.1131	0.63065
3	16	14.67	0.55689
3	17	15.2402	0.57016
3	18	15.8543	0.61406
3	19	16.4411	0.58689
3	20	17.0293	0.5882
3	21	17.6291	0.5998
3	22	18.2825	0.65335
3	23	18.8711	0.58857
3	24	19.4858	0.61474
3	25	20.1128	0.62702
3	26	20.7247	0.61186
3	27	21.3005	0.57583
3	28	21.9096	0.60906
3	29	22.5093	0.59974
3	30	23.1673	0.65802
3	31	23.7968	0.62942
3	32	24.372	0.57527
3	33	24.9905	0.61852
3	34	25.5974	0.60681
3	35	26.1682	0.57081
3	36	26.7739	0.60573
3	37	27.3297	0.55577
3	38	27.932	0.60237
3	39	28.5229	0.5909
3	40	29.0695	0.54661
4	1	5.9452	0
4	2	6.4445	0.49927
4	3	7.022	0.57747
4	4	7.6595	0.63756
4	5	8.215	0.55551
4	6	8.814	0.59895
4	7	9.4316	0.61756
4	8	10.0196	0.58808
4	9	10.52	0.50036
4	10	11.1239	0.60395
4	11	11.7397	0.61575
4	12	12.3495	0.60986
4	13	12.978	0.62843
4	14	13.5262	0.54822
4	15	14.0843	0.5581
4	16	14.7056	0.62126
4	17	15.2234	0.51784
4	18	15.8905	0.66709
4	19	16.547	0.65651
4	20	17.11	0.56297
4	21	17.6123	0.50237
4	22	18.2912	0.67884
4	23	18.828	0.5368
4	24	19.445	0.61703
4	25	20.0323	0.58725
4	26	20.6051	0.57288
4	27	21.2192	0.61404
4	28	21.8566	0.6374
4	29	22.4262	0.56964
4	30	22.9207	0.49449
4	31	23.4491	0.52841
4	32	24.0707	0.62157
4	33	24.6374	0.56677
4	34	25.2168	0.57932
4	35	25.8376	0.62088
4	36	26.3877	0.55006
4	37	26.9678	0.58007
4	38	27.6011	0.63334
4	39	28.1482	0.54711
4	40	28.8268	0.6786
4	41	29.301	0.47415
5	1	5.9527	0
5	2	6.409	0.4563
5	3	6.9965	0.58746
5	4	7.6005	0.60397
5	5	8.1699	0.5694
5	6	8.7472	0.57735
5	7	9.3552	0.60797
5	8	9.9244	0.56926
5	9	10.5025	0.57801
5	10	11.1158	0.61337
5	11	11.7529	0.63706
5	12	12.2655	0.51266
5	13	12.8697	0.60421
5	14	13.4997	0.62996
5	15	14.1008	0.60105
5	16	14.6683	0.56757
5	17	15.1762	0.50791
5	18	15.7877	0.61149
5	19	16.4243	0.6366
5	20	17.0044	0.58012
5	21	17.6353	0.63083
5	22	18.2427	0.60742
5	23	18.8382	0.59552
5	24	19.4024	0.56421
5	25	20.0297	0.62726
5	26	20.6395	0.60987
5	27	21.4172	0.77768
5	28	22.0051	0.58792
5	29	22.7174	0.71222
5	30	23.2973	0.5799
5	31	23.8709	0.5736
5	32	24.4403	0.56945
5	33	25.0393	0.59897
5	34	25.5673	0.52798
5	35	26.2455	0.67828
5	36	27.507	1.2615
