Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	5.9472	0
1	2	6.4703	0.52308
1	3	7.0328	0.56252
1	4	7.6281	0.59532
1	5	8.1892	0.56106
1	6	8.7879	0.59876
1	7	9.3975	0.60952
1	8	9.9438	0.54635
1	9	10.523	0.57922
1	10	11.1122	0.58918
1	11	11.6555	0.54328
1	12	12.2997	0.64424
1	13	12.8756	0.57583
1	14	13.4961	0.62054
1	15	14.1262	0.63015
1	16	14.6645	0.53823
1	17	15.2129	0.54843
1	18	15.7965	0.58363
1	19	16.4083	0.61175
1	20	16.9882	0.57994
1	21	17.5897	0.60148
1	22	18.1991	0.60939
1	23	18.792	0.59284
1	24	19.3825	0.5905
1	25	19.9462	0.56376
1	26	20.5214	0.57515
1	27	21.1067	0.58529
1	28	21.6535	0.54682
1	29	22.1837	0.53022
1	30	22.7843	0.60065
1	31	23.3221	0.53778
1	32	23.9388	0.61663
1	33	24.5282	0.58943
1	34	25.1229	0.59467
1	35	25.6777	0.5548
1	36	26.2235	0.54587
1	37	26.782	0.55845
1	38	27.34	0.558
1	39	27.9096	0.56961
1	40	28.4468	0.53725
1	41	28.97	0.52313
2	1	5.952	0
2	2	6.4375	0.48551
2	3	7.0194	0.58189
2	4	7.588	0.56861
2	5	8.1656	0.57756
2	6	8.7764	0.61082
2	7	9.3817	0.60529
2	8	9.9828	0.60112
2	9	10.524	0.54116
2	10	11.1196	0.59566
2	11	11.7146	0.59495
2	12	12.305	0.59048
2	13	12.8938	0.58873
2	14	13.506	0.61225
2	15	14.0784	0.57241
2	16	14.658	0.57954
2	17	15.2442	0.58624
2	18	15.8456	0.60135
2	19	16.4281	0.58252
2	20	16.9937	0.56565
2	21	17.5808	0.58706
2	22	18.201	0.62024
2	23	18.7548	0.55378
2	24	19.3324	0.57753
2	25	19.8752	0.54287
2	26	20.3943	0.51906
2	27	20.9276	0.53333
2	28	21.4913	0.5637
2	29	22.0088	0.51754
2	30	22.5664	0.5576
2	31	23.1193	0.55285
2	32	23.6912	0.57189
2	33	24.2381	0.54694
2	34	24.774	0.53586
2	35	25.3416	0.56762
2	36	25.8931	0.55146
2	37	26.437	0.5439
2	38	27.0066	0.56963
2	39	27.5775	0.5709
2	40	28.1368	0.55933
2	41	28.6811	0.54423
2	42	29.2099	0.5288
3	1	5.9471	0
3	2	6.4621	0.51509
3	3	7.0251	0.56298
3	4	7.5826	0.55749
3	5	8.1846	0.60197
3	6	8.788	0.6034
3	7	9.3446	0.55666
3	8	9.9617	0.61703
3	9	10.5883	0.62669
3	10	11.1386	0.55028
3	11	11.729	0.59042
3	12	12.3389	0.60982
3	13	12.9585	0.61961
3	14	13.4932	0.5347
3	15	14.0757	0.58253
3	16	14.6647	0.58903
3	17	15.2178	0.55308
3	18	15.8483	0.63053
3	19	16.4478	0.59948
3	20	17.0349	0.58708
3	21	17.6205	0.58559
3	22	18.2519	0.63146
3	23	18.8043	0.55237
3	24	19.4158	0.61149
3	25	19.9663	0.55049
3	26	20.5316	0.56532
3	27	21.1019	0.57031
3	28	21.6632	0.5613
3	29	22.1942	0.53099
3	30	22.7295	0.53531
3	31	23.2579	0.52838
3	32	23.7905	0.53256
3	33	24.3712	0.58076
3	34	24.9534	0.58219
3	35	25.4955	0.54205
3	36	26.0624	0.56697
3	37	26.6379	0.5755
3	38	27.1993	0.56141
3	39	27.7391	0.53978
3	40	28.3087	0.5696
3	41	28.8737	0.56499
4	1	5.955	0
4	2	6.4311	0.47606
4	3	6.9919	0.56077
4	4	7.584	0.59211
4	5	8.1363	0.55236
4	6	8.7423	0.60599
4	7	9.3438	0.60148
4	8	9.975	0.63121
4	9	10.5253	0.55028
4	10	11.123	0.59772
4	11	11.7122	0.58919
4	12	12.3221	0.60987
4	13	12.8785	0.55644
4	14	13.4539	0.57534
4	15	14.0276	0.57376
4	16	14.6792	0.65154
4	17	15.2582	0.57905
4	18	15.836	0.57782
4	19	16.4311	0.59503
4	20	17.0292	0.59811
4	21	17.6033	0.57412
4	22	18.231	0.62766
4	23	18.8254	0.5944
4	24	19.4258	0.60046
4	25	20.0151	0.58925
4	26	20.6157	0.60062
4	27	21.1975	0.58176
4	28	21.7681	0.57066
4	29	22.3556	0.58747
4	30	22.8979	0.54235
4	31	23.4836	0.58564
4	32	24.1011	0.61748
4	33	24.6625	0.56144
4	34	25.2478	0.5853
