Click #	Click time (ms)	Interclick interval (ms)
1	6.2157	0
2	6.7819	0.56614
3	7.3231	0.54122
4	7.9256	0.60254
5	8.4439	0.51825
6	9.1095	0.66558
7	9.6944	0.58495
8	10.2539	0.5595
9	10.8338	0.57983
10	11.3766	0.54287
11	11.9757	0.59904
12	12.5353	0.55962
13	13.1348	0.59952
14	13.7116	0.57676
15	14.3698	0.65821
16	14.948	0.57824
17	15.525	0.57693
18	16.1021	0.57718
19	16.7241	0.62196
20	17.2767	0.55259
21	18.0346	0.75796
22	18.5559	0.52125
23	19.0928	0.53693
24	19.6949	0.6021
25	20.206	0.51103
26	20.7822	0.57626
27	21.3622	0.57997
28	21.8964	0.53417
29	22.4813	0.58498
30	23.051	0.56971
31	23.5644	0.51332
32	24.0751	0.51078
33	24.6315	0.55639
34	25.151	0.51951
35	25.6658	0.51479
36	26.1542	0.48834
37	26.6445	0.49034
38	27.1352	0.49068
39	27.6254	0.49024
40	28.1195	0.49409
41	28.6362	0.51672
42	29.1423	0.50603
43	29.6672	0.52496
