Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	6.4169	0
1	2	7.0244	0.60751
1	3	7.6013	0.57691
1	4	8.1952	0.59388
1	5	8.802	0.60675
1	6	9.3675	0.56555
1	7	9.9588	0.59124
1	8	10.5375	0.57869
1	9	11.1055	0.56802
1	10	11.6923	0.58684
1	11	12.3014	0.60906
1	12	12.8862	0.5848
1	13	13.462	0.57588
1	14	14.0517	0.58964
1	15	14.6181	0.56642
1	16	15.2285	0.61042
1	17	15.8175	0.58893
1	18	16.4025	0.58504
1	19	16.9676	0.56507
1	20	17.5677	0.60014
1	21	18.1989	0.6312
1	22	18.8272	0.62832
1	23	19.4176	0.59032
1	24	20.019	0.60145
1	25	20.6594	0.64036
1	26	21.2831	0.62376
1	27	21.9458	0.66263
1	28	22.6173	0.67152
1	29	23.2634	0.64607
1	30	23.9287	0.66538
1	31	24.5497	0.62092
1	32	25.1822	0.63252
1	33	25.8632	0.68104
1	34	26.4989	0.63574
1	35	27.1368	0.63784
1	36	27.7394	0.60257
1	37	28.326	0.58666
1	38	28.9098	0.58375
2	1	5.9948	0
2	2	6.4639	0.46905
2	3	7.0055	0.54163
2	4	7.5778	0.57226
2	5	8.1819	0.60416
2	6	8.7571	0.57521
2	7	9.3294	0.57224
2	8	9.9202	0.59078
2	9	10.4995	0.57935
2	10	11.1112	0.61165
2	11	11.6656	0.55438
2	12	12.2563	0.5907
2	13	12.8555	0.59928
2	14	13.4838	0.62824
2	15	14.0343	0.55048
2	16	14.6537	0.61949
2	17	15.2285	0.57473
2	18	15.8359	0.60747
2	19	16.4168	0.58084
2	20	16.9696	0.55282
2	21	17.5709	0.60126
2	22	18.2728	0.70195
2	23	18.8391	0.56626
2	24	19.4799	0.64084
2	25	20.0601	0.58019
2	26	20.6888	0.6287
2	27	21.301	0.6122
2	28	21.9232	0.62217
2	29	22.5654	0.64221
2	30	23.2014	0.63599
2	31	23.8205	0.6191
2	32	24.4676	0.64707
2	33	25.128	0.66047
2	34	25.7187	0.59071
2	35	26.3684	0.64966
2	36	27.0783	0.70986
2	37	27.7005	0.62222
2	38	28.3388	0.63832
2	39	28.9054	0.56657
3	1	6.4544	0
3	2	7.0221	0.56773
3	3	7.6221	0.60003
3	4	8.1829	0.56081
3	5	8.8005	0.61757
3	6	9.3722	0.57167
3	7	9.9449	0.57278
3	8	10.5504	0.60547
3	9	11.1072	0.55678
3	10	11.6743	0.56707
3	11	12.3354	0.66117
3	12	12.9158	0.58035
3	13	13.4985	0.58274
3	14	14.0867	0.58813
3	15	14.6621	0.57543
3	16	15.2501	0.58798
3	17	15.8222	0.57213
3	18	16.4412	0.61903
3	19	17.0146	0.57334
3	20	17.6258	0.61126
3	21	18.2939	0.66808
3	22	18.9288	0.63486
3	23	19.5308	0.60207
3	24	20.1674	0.63654
3	25	20.7918	0.6244
3	26	21.3655	0.57375
3	27	21.948	0.58247
3	28	22.577	0.62898
3	29	23.2296	0.65262
3	30	23.8265	0.5969
3	31	24.5069	0.68038
3	32	25.1062	0.59934
3	33	25.8084	0.70219
3	34	26.4909	0.68253
3	35	27.146	0.65508
3	36	27.782	0.63602
3	37	28.4499	0.66789
3	38	29.0791	0.62922
4	1	6.4752	0
4	2	7.0629	0.58771
4	3	7.6267	0.56376
4	4	8.1831	0.55638
4	5	8.7779	0.59477
4	6	9.3586	0.58072
4	7	9.9678	0.60921
4	8	10.5516	0.58384
4	9	11.141	0.58933
4	10	11.7274	0.58643
4	11	12.3042	0.5768
4	12	12.8977	0.59353
4	13	13.5024	0.60468
4	14	14.0605	0.55805
4	15	14.6587	0.59825
4	16	15.2371	0.57835
4	17	15.8421	0.60502
4	18	16.4356	0.59351
4	19	17.0088	0.57319
4	20	17.6282	0.61942
4	21	18.2848	0.65662
4	22	18.9066	0.62182
4	23	19.5071	0.60044
4	24	20.0705	0.56338
4	25	20.6591	0.58866
4	26	21.27	0.61091
4	27	21.9216	0.65159
4	28	22.555	0.63333
4	29	23.1982	0.64328
4	30	23.8106	0.61233
4	31	24.4022	0.59158
4	32	25.0339	0.63174
4	33	25.6953	0.66145
4	34	26.3552	0.65985
4	35	27.0116	0.65636
4	36	27.6438	0.63226
4	37	28.3283	0.68453
4	38	28.9344	0.60608
5	1	6.4428	0
5	2	7.0534	0.61057
5	3	7.6048	0.55145
5	4	8.2074	0.60261
5	5	8.7907	0.58321
5	6	9.3586	0.56797
5	7	9.9592	0.60061
5	8	10.5377	0.57848
5	9	11.1632	0.62548
5	10	11.7423	0.57905
5	11	12.3045	0.56227
5	12	12.9167	0.61218
5	13	13.5125	0.59582
5	14	14.0873	0.57479
5	15	14.6541	0.56682
5	16	15.2536	0.5995
5	17	15.8617	0.60805
5	18	16.4654	0.6037
5	19	17.0533	0.58796
5	20	17.6148	0.56149
5	21	18.2683	0.65349
5	22	18.8762	0.60783
5	23	19.5091	0.63298
5	24	20.1098	0.60062
5	25	20.73	0.62022
5	26	21.3521	0.62213
5	27	21.9614	0.60932
5	28	22.5946	0.63315
5	29	23.2296	0.63498
5	30	23.8613	0.63173
5	31	24.4834	0.6221
5	32	25.1051	0.6217
5	33	25.7671	0.66199
5	34	26.3778	0.61067
5	35	27.0271	0.64932
5	36	27.6867	0.65958
5	37	28.3665	0.67981
5	38	28.9915	0.62499
