Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	5.9471	0
1	2	6.4311	0.48399
1	3	7.0058	0.57469
1	4	7.5986	0.5928
1	5	8.159	0.56038
1	6	8.7643	0.60528
1	7	9.363	0.59873
1	8	9.9377	0.57472
1	9	10.5034	0.56569
1	10	11.1162	0.61279
1	11	11.6925	0.57627
1	12	12.2876	0.59514
1	13	12.8685	0.58089
1	14	13.4817	0.61323
1	15	14.058	0.57624
1	16	14.596	0.53801
1	17	15.2384	0.64245
1	18	15.8338	0.59534
1	19	16.4127	0.57892
1	20	17.0073	0.59464
1	21	17.5895	0.58212
1	22	18.2175	0.62802
1	23	18.809	0.59148
1	24	19.4136	0.60465
1	25	20.0212	0.60755
1	26	20.6046	0.58345
1	27	21.1976	0.59302
1	28	21.7986	0.60093
1	29	22.358	0.5594
1	30	22.952	0.59404
1	31	23.4984	0.54636
1	32	24.1157	0.61731
1	33	24.7195	0.60388
1	34	25.3074	0.58789
1	35	25.9228	0.61532
1	36	26.5346	0.61182
1	37	27.164	0.6294
1	38	27.7935	0.62949
1	39	28.4194	0.62596
1	40	29.0426	0.6232
2	1	5.9507	0
2	2	6.4317	0.48109
2	3	6.9719	0.5402
2	4	7.5827	0.61072
2	5	8.1714	0.58875
2	6	8.7634	0.59195
2	7	9.3719	0.60849
2	8	9.9194	0.54754
2	9	10.4867	0.56734
2	10	11.1056	0.6189
2	11	11.7021	0.59649
2	12	12.2755	0.57339
2	13	12.8735	0.59794
2	14	13.4601	0.58664
2	15	14.0368	0.57666
2	16	14.6007	0.5639
2	17	15.2049	0.60424
2	18	15.7907	0.58577
2	19	16.3804	0.58978
2	20	16.9733	0.59285
2	21	17.5502	0.57689
2	22	18.2163	0.66611
2	23	18.7949	0.57855
2	24	19.3859	0.59105
2	25	19.9579	0.57203
2	26	20.5305	0.57259
2	27	21.0969	0.56638
2	28	21.6645	0.56755
2	29	22.2547	0.59029
2	30	22.8363	0.58154
2	31	23.4301	0.59377
2	32	24.0518	0.62175
2	33	24.646	0.59423
2	34	25.2329	0.5869
2	35	25.8552	0.62223
2	36	26.4783	0.62318
2	37	27.0942	0.61584
2	38	27.7343	0.64012
2	39	28.3049	0.57062
2	40	28.9233	0.61836
3	1	5.952	0
3	2	6.4341	0.48206
3	3	6.9912	0.55714
3	4	7.5767	0.58555
3	5	8.1442	0.56744
3	6	8.746	0.60182
3	7	9.3519	0.60588
3	8	9.9192	0.56736
3	9	10.4544	0.53517
3	10	11.0941	0.63968
3	11	11.6203	0.52624
3	12	12.0362	0.41583
3	13	12.3121	0.27589
3	14	12.8777	0.56566
3	15	13.4811	0.60336
3	16	14.0508	0.56971
3	17	14.6599	0.60907
3	18	15.2329	0.57307
3	19	15.8278	0.59487
3	20	16.4206	0.59281
3	21	16.9955	0.57485
3	22	17.5936	0.59809
3	23	18.2298	0.6362
3	24	18.8076	0.57789
3	25	19.424	0.61638
3	26	19.9987	0.57469
3	27	20.5924	0.59371
3	28	21.1971	0.60472
3	29	21.8332	0.63604
3	30	22.4488	0.61565
3	31	23.0744	0.62553
3	32	23.666	0.59167
3	33	24.3069	0.64089
3	34	24.9531	0.6462
3	35	25.5895	0.63639
3	36	26.214	0.62452
3	37	26.8607	0.64664
3	38	27.4848	0.62409
3	39	28.1096	0.6248
3	40	28.7872	0.67762
4	1	5.9507	0
4	2	6.427	0.47631
4	3	7.0103	0.5833
4	4	7.6169	0.60654
4	5	8.2074	0.5905
4	6	8.7888	0.58139
4	7	9.3746	0.5858
4	8	9.9411	0.56657
4	9	10.5393	0.59817
4	10	11.1126	0.57328
4	11	11.6902	0.57763
4	12	12.2793	0.58906
4	13	12.8506	0.57131
4	14	13.4514	0.60083
4	15	14.0682	0.61677
4	16	14.6784	0.61019
4	17	15.2567	0.5783
4	18	15.8586	0.60188
4	19	16.3962	0.53761
4	20	17.0365	0.64033
4	21	17.6196	0.58307
4	22	18.2575	0.63796
4	23	18.8711	0.61359
4	24	19.5318	0.6607
4	25	20.1079	0.57606
4	26	20.7289	0.621
4	27	21.3364	0.60752
4	28	21.9603	0.6239
4	29	22.5968	0.63648
4	30	23.2265	0.62967
4	31	23.8466	0.62013
4	32	24.4499	0.60328
4	33	25.0756	0.62569
4	34	25.7043	0.62874
4	35	26.2912	0.58691
4	36	26.8981	0.60686
4	37	27.5398	0.64169
4	38	28.1747	0.63489
4	39	28.8011	0.62647
4	40	29.391	0.58992
5	1	5.9469	0
5	2	6.4465	0.49963
5	3	6.9929	0.54633
5	4	7.5929	0.60004
5	5	8.1609	0.568
5	6	8.7464	0.58551
5	7	9.3238	0.57743
5	8	9.9297	0.60584
5	9	10.486	0.5563
5	10	11.0806	0.5946
5	11	11.714	0.63341
5	12	12.2868	0.57284
5	13	12.8964	0.6096
5	14	13.4861	0.58964
5	15	14.0651	0.57905
5	16	14.685	0.61984
5	17	15.2339	0.54893
5	18	15.8214	0.58749
5	19	16.4278	0.60643
5	20	17.0045	0.57665
5	21	17.6022	0.59777
5	22	18.2179	0.61568
5	23	18.8058	0.58791
5	24	19.402	0.59612
5	25	19.9927	0.59077
5	26	20.5912	0.59848
5	27	21.2297	0.6385
5	28	21.8446	0.6149
5	29	22.4474	0.60284
5	30	23.0333	0.58585
5	31	23.6517	0.61839
5	32	24.2799	0.62826
5	33	24.8726	0.59266
5	34	25.5387	0.66608
5	35	26.1758	0.6371
5	36	26.8403	0.66451
5	37	27.4645	0.62417
5	38	28.094	0.62957
5	39	28.6896	0.59559
5	40	29.339	0.64937
