Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	3.3204	0
1	2	3.9855	0.66507
1	3	4.5649	0.57937
1	4	5.1588	0.59392
1	5	5.7596	0.60083
1	6	6.3463	0.58672
1	7	6.9148	0.56843
1	8	7.5759	0.66115
1	9	8.1106	0.53469
1	10	8.6846	0.57397
1	11	9.3211	0.63653
1	12	9.8858	0.56467
1	13	10.4659	0.58007
1	14	11.0647	0.59883
1	15	11.602	0.53728
1	16	12.1411	0.53916
1	17	12.8229	0.68182
1	18	13.3591	0.53617
1	19	13.9767	0.61755
1	20	14.6334	0.65675
1	21	15.2905	0.65711
1	22	15.792	0.50149
1	23	16.3565	0.5645
1	24	16.9252	0.56872
1	25	17.5573	0.63208
1	26	18.1406	0.58331
1	27	18.7155	0.57488
1	28	19.2834	0.56789
1	29	19.8413	0.55789
1	30	20.3626	0.52136
1	31	20.9454	0.58275
1	32	21.5451	0.59973
1	33	22.1311	0.58595
1	34	22.6694	0.5383
1	35	23.1846	0.51525
1	36	23.737	0.55234
1	37	24.2876	0.55066
1	38	24.8122	0.52461
1	39	25.3736	0.56134
1	40	25.97	0.5964
2	1	3.325	0
2	2	3.9981	0.6731
2	3	4.5779	0.57982
2	4	5.1712	0.59332
2	5	5.725	0.55378
2	6	6.3656	0.64057
2	7	6.9189	0.55329
2	8	7.5637	0.64488
2	9	8.1499	0.58615
2	10	8.6639	0.51399
2	11	9.29	0.62616
2	12	9.8848	0.59471
2	13	10.4438	0.55905
2	14	11.0493	0.60545
2	15	11.6347	0.5854
2	16	12.1816	0.5469
2	17	12.7914	0.6098
2	18	13.3819	0.59052
2	19	14.0012	0.61933
2	20	14.596	0.59479
2	21	15.2521	0.6561
2	22	15.7585	0.5064
2	23	16.2998	0.54126
2	24	16.8532	0.55344
2	25	17.4283	0.57506
2	26	17.992	0.56377
2	27	18.5694	0.57735
2	28	19.1288	0.55944
2	29	19.6751	0.54631
2	30	20.2169	0.54179
2	31	20.7308	0.51392
2	32	21.4092	0.67838
2	33	21.9694	0.56018
2	34	22.524	0.55465
2	35	23.1765	0.65242
2	36	23.7404	0.56394
2	37	24.3617	0.62125
2	38	24.9464	0.58472
2	39	25.5076	0.56122
2	40	26.1045	0.59687
3	1	3.3545	0
3	2	3.9683	0.61374
3	3	4.581	0.61272
3	4	5.1461	0.56515
3	5	5.7195	0.57335
3	6	6.3692	0.64972
3	7	6.9567	0.58753
3	8	7.5438	0.58705
3	9	8.1398	0.59605
3	10	8.6956	0.5558
3	11	9.3032	0.6075
3	12	9.8656	0.56245
3	13	10.4616	0.59598
3	14	11.0677	0.60612
3	15	11.6813	0.61363
3	16	12.2212	0.53984
3	17	12.8448	0.62362
3	18	13.439	0.59424
3	19	14.0097	0.57069
3	20	14.6406	0.63088
3	21	15.2753	0.63469
3	22	15.8842	0.60889
3	23	16.426	0.54182
3	24	16.9873	0.56128
3	25	17.5283	0.54099
3	26	18.0879	0.55968
3	27	18.6877	0.59976
3	28	19.2786	0.59093
3	29	19.9187	0.64009
3	30	20.4584	0.53968
3	31	21.0704	0.61197
3	32	21.6715	0.60113
3	33	22.2985	0.62698
3	34	22.9181	0.61964
3	35	23.4437	0.52561
3	36	24.0852	0.64151
3	37	24.6885	0.6033
3	38	25.251	0.56249
3	39	25.8066	0.55554
3	40	26.4356	0.62904
4	1	3.5074	0
4	2	4.0792	0.57179
4	3	4.6261	0.54693
4	4	5.1976	0.57147
4	5	5.7504	0.5528
4	6	6.3172	0.56684
4	7	6.9268	0.60954
4	8	7.5511	0.62432
4	9	8.139	0.58793
4	10	8.6526	0.51359
4	11	9.3347	0.68209
4	12	9.8862	0.55152
4	13	10.4543	0.56808
4	14	11.0628	0.60845
4	15	11.6628	0.60007
4	16	12.2444	0.58161
4	17	12.8108	0.56631
4	18	13.4497	0.63895
4	19	14.0395	0.58977
4	20	14.63	0.59053
4	21	15.3293	0.69932
4	22	15.9795	0.65017
4	23	16.548	0.56856
4	24	17.2069	0.65883
4	25	17.7818	0.5749
4	26	18.395	0.61318
4	27	18.9423	0.54736
4	28	19.5827	0.64037
4	29	20.1961	0.61344
4	30	20.797	0.60085
4	31	21.371	0.57404
4	32	21.963	0.59199
4	33	22.5596	0.59655
4	34	23.1375	0.57792
4	35	23.7136	0.57612
4	36	24.378	0.66442
4	37	25.0202	0.64223
4	38	25.5746	0.55439
4	39	26.1492	0.57454
5	1	3.4668	0
5	2	4.0196	0.55279
5	3	4.5752	0.55557
5	4	5.113	0.53784
5	5	5.7434	0.63037
5	6	6.3482	0.60486
5	7	6.9084	0.56013
5	8	7.5083	0.59992
5	9	8.1129	0.60457
5	10	8.7412	0.62836
5	11	9.3049	0.5637
5	12	9.8842	0.57922
5	13	10.4744	0.59027
5	14	11.1044	0.62995
5	15	11.6198	0.51539
5	16	12.2354	0.61568
5	17	12.8132	0.57772
5	18	13.3761	0.5629
5	19	13.9511	0.57505
5	20	14.5244	0.57331
5	21	15.1976	0.67314
5	22	15.7829	0.58535
5	23	16.3038	0.52091
5	24	16.991	0.68715
5	25	17.5644	0.57343
5	26	18.1428	0.57839
5	27	18.7292	0.58642
5	28	19.305	0.57574
5	29	19.8766	0.57165
5	30	20.4863	0.60975
5	31	21.1543	0.66798
5	32	21.7222	0.56785
5	33	22.3037	0.58151
5	34	22.8468	0.54315
5	35	23.4125	0.56561
5	36	23.9499	0.53749
5	37	24.6543	0.70435
5	38	25.2447	0.5904
5	39	25.8621	0.61744
5	40	26.4064	0.54423
