Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	3.3605	0
1	2	3.956	0.59545
1	3	4.546	0.59
1	4	5.1499	0.60388
1	5	5.7001	0.55023
1	6	6.2353	0.53519
1	7	6.8155	0.58018
1	8	7.4151	0.59963
1	9	7.9572	0.5421
1	10	8.5129	0.55569
1	11	9.0723	0.55938
1	12	9.6693	0.59705
1	13	10.3599	0.6906
1	14	10.9693	0.60938
1	15	11.5013	0.53202
1	16	12.0387	0.53742
1	17	12.6725	0.63372
1	18	13.3272	0.65475
1	19	14.0046	0.67739
1	20	14.6154	0.6108
1	21	15.2322	0.61684
1	22	15.8099	0.57761
1	23	16.406	0.59619
1	24	17.0059	0.59988
1	25	17.6894	0.68353
1	26	18.266	0.57657
1	27	18.8991	0.63305
1	28	19.5865	0.68747
1	29	20.1467	0.56013
1	30	20.7526	0.60589
1	31	21.3821	0.62955
1	32	21.9559	0.57375
1	33	22.5675	0.61166
1	34	23.1763	0.60882
1	35	23.8536	0.6773
1	36	24.4889	0.63522
1	37	25.1945	0.70564
1	38	25.8489	0.6544
1	39	26.4486	0.59976
2	1	3.4825	0
2	2	4.0002	0.5177
2	3	4.5962	0.596
2	4	5.1728	0.57658
2	5	5.7662	0.59342
2	6	6.3395	0.5733
2	7	6.9155	0.57598
2	8	7.468	0.55256
2	9	8.088	0.61994
2	10	8.685	0.59707
2	11	9.2784	0.59333
2	12	9.8703	0.59197
2	13	10.454	0.58363
2	14	11.0608	0.60682
2	15	11.6247	0.56395
2	16	12.2772	0.65242
2	17	12.8329	0.55574
2	18	13.4216	0.58872
2	19	14.015	0.59338
2	20	14.6361	0.62111
2	21	15.2568	0.62065
2	22	15.8202	0.56343
2	23	16.4252	0.60503
2	24	17.0716	0.64636
2	25	17.6236	0.55203
2	26	18.2658	0.6422
2	27	18.879	0.61318
2	28	19.4623	0.5833
2	29	20.0187	0.5564
2	30	20.6647	0.64598
2	31	21.2434	0.57871
2	32	21.8117	0.56827
2	33	22.4213	0.60961
2	34	22.9772	0.55592
2	35	23.5459	0.56869
2	36	24.202	0.65608
2	37	24.8214	0.6194
2	38	25.3855	0.5641
2	39	25.9143	0.52888
3	1	3.5189	0
3	2	4.0338	0.51492
3	3	4.5654	0.5316
3	4	5.1749	0.60948
3	5	5.6938	0.51894
3	6	6.242	0.54823
3	7	6.8704	0.62841
3	8	7.4612	0.59072
3	9	8.0642	0.60304
3	10	8.6139	0.54967
3	11	9.2185	0.60459
3	12	9.7563	0.53787
3	13	10.4273	0.67101
3	14	11.0298	0.60243
3	15	11.6209	0.59108
3	16	12.1967	0.57587
3	17	12.8067	0.61002
3	18	13.4114	0.60462
3	19	13.9817	0.57033
3	20	14.6038	0.6221
3	21	15.2729	0.66906
3	22	15.8604	0.58755
3	23	16.448	0.58763
3	24	17.066	0.61794
3	25	17.6404	0.57447
3	26	18.127	0.48657
3	27	18.7032	0.57623
3	28	19.2337	0.53044
3	29	19.7762	0.54253
3	30	20.3281	0.55191
3	31	21.1659	0.83775
3	32	21.7327	0.56683
3	33	22.3346	0.60193
3	34	22.8404	0.5058
3	35	23.4052	0.56473
3	36	24.1796	0.77445
3	37	24.7079	0.52827
3	38	25.3377	0.62984
3	39	25.8778	0.54007
4	1	3.4025	0
4	2	4.0263	0.62385
4	3	4.6268	0.60051
4	4	5.2019	0.57507
4	5	5.7763	0.57441
4	6	6.3876	0.61133
4	7	6.9779	0.59024
4	8	7.567	0.58911
4	9	8.1794	0.61243
4	10	8.7198	0.54041
4	11	9.3871	0.66726
4	12	10.0013	0.61424
4	13	10.5289	0.52759
4	14	11.1118	0.58287
4	15	11.6451	0.53329
4	16	12.2226	0.57747
4	17	12.815	0.59245
4	18	13.3658	0.55073
4	19	13.9973	0.63153
4	20	14.5518	0.55452
4	21	15.26	0.70815
4	22	15.864	0.60402
4	23	16.4765	0.6125
4	24	17.1209	0.64442
4	25	17.6877	0.56685
4	26	18.3001	0.61232
4	27	18.8995	0.59946
4	28	19.5893	0.68973
4	29	20.1704	0.58119
4	30	20.7949	0.62443
4	31	21.3939	0.59899
4	32	22.0294	0.63556
4	33	22.6962	0.66677
4	34	23.3104	0.61416
4	35	23.9984	0.68805
4	36	24.7104	0.71197
4	37	25.3397	0.62933
4	38	26.0042	0.66448
5	1	3.4279	0
5	2	4.015	0.58714
5	3	4.5939	0.57885
5	4	5.1572	0.56327
5	5	5.7605	0.60333
5	6	6.3999	0.63945
5	7	6.9646	0.56465
5	8	7.5946	0.63001
5	9	8.1252	0.53063
5	10	8.6636	0.53838
5	11	9.3182	0.65454
5	12	9.9626	0.6445
5	13	10.4596	0.49696
5	14	11.0693	0.60971
5	15	11.6955	0.62619
5	16	12.2573	0.56183
5	17	12.8069	0.54955
5	18	13.336	0.52914
5	19	13.951	0.61496
5	20	14.5438	0.59286
5	21	15.2209	0.67705
5	22	15.8933	0.67238
5	23	16.5085	0.61526
5	24	17.0828	0.57429
5	25	17.7271	0.64431
5	26	18.315	0.58788
5	27	18.8942	0.57919
5	28	19.522	0.62784
5	29	20.0805	0.55846
5	30	20.6752	0.59475
5	31	21.3314	0.65619
5	32	21.8223	0.49087
5	33	22.4116	0.58927
5	34	23.0065	0.59491
5	35	23.571	0.56454
5	36	24.0978	0.52681
5	37	24.7389	0.64106
5	38	25.2999	0.56101
5	39	25.9395	0.63957
