Trial #	Click #	Click time (ms)	Interclick interval (ms)
1	1	3.475	0
1	2	4.006	0.531
1	3	4.6085	0.60249
1	4	5.214	0.6055
1	5	5.8003	0.58623
1	6	6.3714	0.57111
1	7	6.9409	0.56952
1	8	7.4904	0.54947
1	9	8.1261	0.63572
1	10	8.7221	0.59599
1	11	9.3361	0.61408
1	12	9.9066	0.57043
1	13	10.4643	0.55772
1	14	11.038	0.57368
1	15	11.6301	0.59209
1	16	12.2045	0.57447
1	17	12.7934	0.58884
1	18	13.4112	0.61778
1	19	13.9837	0.57253
1	20	14.4934	0.50966
1	21	15.1096	0.61627
1	22	15.6966	0.58699
1	23	16.2703	0.5737
1	24	16.8613	0.59094
1	25	17.4234	0.56219
1	26	17.9238	0.50039
1	27	18.5822	0.6584
1	28	19.1296	0.54735
1	29	19.7118	0.58222
1	30	20.2682	0.55644
1	31	20.8707	0.6025
1	32	21.4792	0.60845
1	33	22.0357	0.5565
1	34	22.6478	0.61209
1	35	23.1715	0.52371
1	36	23.8296	0.65814
1	37	24.3584	0.52877
1	38	24.9963	0.6379
1	39	25.5628	0.56654
1	40	26.1547	0.59184
2	1	3.4833	0
2	2	4.0396	0.55634
2	3	4.6093	0.56963
2	4	5.1797	0.57047
2	5	5.7516	0.57191
2	6	6.2859	0.53431
2	7	6.848	0.5621
2	8	7.4237	0.57564
2	9	8.0174	0.59369
2	10	8.6137	0.59632
2	11	9.2062	0.59249
2	12	9.788	0.58178
2	13	10.4321	0.64416
2	14	11.0139	0.58178
2	15	11.5335	0.51954
2	16	12.1465	0.61309
2	17	12.7673	0.62075
2	18	13.4215	0.65417
2	19	13.9664	0.54498
2	20	14.6266	0.66015
2	21	15.2623	0.6357
2	22	15.7751	0.51279
2	23	16.3676	0.59254
2	24	16.9476	0.58
2	25	17.5583	0.61071
2	26	18.1785	0.62019
2	27	18.779	0.60044
2	28	19.3184	0.53938
2	29	19.9275	0.60918
2	30	20.4629	0.5354
2	31	21.0048	0.54182
2	32	21.6039	0.59909
2	33	22.1679	0.56403
2	34	22.8036	0.63573
2	35	23.3896	0.586
2	36	24.009	0.61943
2	37	24.6011	0.59209
2	38	25.1981	0.59698
2	39	25.7733	0.57522
2	40	26.3477	0.57435
3	1	3.4579	0
3	2	4.0483	0.5904
3	3	4.612	0.56373
3	4	5.2382	0.62619
3	5	5.8	0.56178
3	6	6.4379	0.63786
3	7	6.9905	0.55259
3	8	7.5375	0.54705
3	9	8.1469	0.60943
3	10	8.7226	0.57566
3	11	9.347	0.62436
3	12	9.8957	0.54873
3	13	10.4683	0.57265
3	14	11.06	0.5917
3	15	11.7002	0.64015
3	16	12.2215	0.52137
3	17	12.8711	0.64951
3	18	13.4274	0.55633
3	19	14.0217	0.59428
3	20	14.6173	0.5956
3	21	15.2815	0.66424
3	22	15.8487	0.56715
3	23	16.4764	0.62777
3	24	17.0038	0.52735
3	25	17.5949	0.59117
3	26	18.1937	0.59879
3	27	18.861	0.6673
3	28	19.4025	0.54144
3	29	20.1265	0.72404
3	30	20.7562	0.62971
3	31	21.399	0.64277
3	32	21.9564	0.55738
3	33	22.503	0.54659
3	34	23.106	0.60299
3	35	23.7653	0.65936
3	36	24.3717	0.60638
3	37	25.004	0.63226
3	38	25.5838	0.57985
3	39	26.2482	0.66435
4	1	3.4483	0
4	2	4.0356	0.58729
4	3	4.6035	0.56793
4	4	5.1465	0.54294
4	5	5.7089	0.56247
4	6	6.3521	0.64313
4	7	6.9379	0.58586
4	8	7.5044	0.56649
4	9	8.1145	0.61008
4	10	8.7127	0.59823
4	11	9.3463	0.63359
4	12	9.8671	0.52083
4	13	10.475	0.6079
4	14	11.0547	0.57964
4	15	11.6662	0.61153
4	16	12.2216	0.55543
4	17	12.8418	0.62011
4	18	13.3993	0.55758
4	19	13.9897	0.59032
4	20	14.5986	0.60898
4	21	15.2975	0.69886
4	22	15.9282	0.63072
4	23	16.6011	0.67292
4	24	17.2199	0.61873
4	25	17.7819	0.56205
4	26	18.4236	0.64164
4	27	19.0474	0.6238
4	28	19.5817	0.53431
4	29	20.1939	0.61225
4	30	20.7829	0.58901
4	31	21.4054	0.62252
4	32	22.0529	0.64747
4	33	22.6613	0.60843
4	34	23.2452	0.58388
4	35	23.8494	0.6042
4	36	24.4671	0.61765
4	37	25.1474	0.68029
4	38	25.7868	0.6394
5	1	3.3427	0
5	2	3.9931	0.65037
5	3	4.5835	0.59041
5	4	5.2045	0.62101
5	5	5.7987	0.59418
5	6	6.3638	0.5651
5	7	6.9706	0.60684
5	8	7.5186	0.54794
5	9	8.0832	0.56464
5	10	8.6466	0.5634
5	11	9.2189	0.57227
5	12	9.8139	0.59504
5	13	10.4382	0.6243
5	14	11.0008	0.56257
5	15	11.5543	0.55351
5	16	12.1844	0.63005
5	17	12.7428	0.55849
5	18	13.3619	0.61902
5	19	13.9378	0.57597
5	20	14.5306	0.59279
5	21	15.2667	0.73607
5	22	15.9064	0.63971
5	23	16.4613	0.5549
5	24	17.1051	0.64381
5	25	17.7077	0.60256
5	26	18.2988	0.59116
5	27	18.8928	0.59399
5	28	19.4336	0.54079
5	29	20.0451	0.61151
5	30	20.6635	0.61832
5	31	21.2775	0.61402
5	32	21.9101	0.63262
5	33	22.4551	0.54501
5	34	23.0443	0.58921
5	35	23.6584	0.61405
5	36	24.3937	0.73532
5	37	24.983	0.58931
5	38	25.5549	0.57187
5	39	26.1431	0.58824
